week_date,current_projects,current_projects_target,current_projects_diversity,starting_projects,starting_projects_target,starting_projects_diversity,ending_projects,ending_projects_target,ending_projects_diversity,success_rate,Age,winter,automn,spring,summer,start_month,end_month,back_to_school,toussaint,noel,winter_hol,spring_hol,start_year,end_year
2012-03-25 00:00:00+00:00,129,3942.6356589147285,1.900054747076483,19,4655.0,1.4801120971561,10,3053.0,1.5047882836811908,0.47368421052631576,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01 00:00:00+00:00,142,3920.105633802817,1.9422529204956513,23,3416.7391304347825,2.019842184881483,22,2398.0,1.7903135666987762,0.4782608695652174,2,0,0,1,0,1,0,0,0,0,0,0,0,0
2012-04-08 00:00:00+00:00,144,3896.2430555555557,1.9379823950083679,24,2381.6666666666665,1.6504194524862634,20,4269.35,1.8032982878044421,0.6666666666666666,2,0,0,1,0,0,0,0,0,0,0,0,0,0
2012-04-15 00:00:00+00:00,148,3575.1486486486488,1.9710834312891232,24,2227.0833333333335,1.863679987341,19,2851.8947368421054,1.4861241287946156,0.5833333333333334,2,0,0,1,0,0,0,0,0,0,0,0,0,0
2012-04-22 00:00:00+00:00,148,3554.027027027027,2.0014886722345815,19,2687.3684210526317,1.663232462218104,13,2946.153846153846,1.5857708352080968,0.42105263157894735,2,0,0,1,0,0,0,0,0,0,0,1,0,0
2012-04-29 00:00:00+00:00,171,3572.0058479532163,2.001068389014542,36,3419.9166666666665,1.8633188500803217,16,3533.5,1.6843729712135975,0.5277777777777778,2,0,0,1,0,0,1,0,0,0,0,1,0,0
2012-05-06 00:00:00+00:00,175,3491.8914285714286,2.02542120365556,20,2840.2,1.989991310073152,19,3200.0,1.4122188958234037,0.45,2,0,0,1,0,1,0,0,0,0,0,0,0,0
2012-05-13 00:00:00+00:00,186,3371.6720430107525,2.0653692955325416,30,2561.6666666666665,1.8029579449767987,23,2970.0,1.6619882878230374,0.5333333333333333,2,0,0,1,0,0,0,0,0,0,0,0,0,0
2012-05-20 00:00:00+00:00,195,3713.5641025641025,2.1090106289732,32,5166.375,2.055194051586703,17,2037.3529411764705,2.002883041090651,0.40625,2,0,0,1,0,0,0,0,0,0,0,0,0,0
2012-05-27 00:00:00+00:00,203,3655.679802955665,2.101308448669008,25,2103.72,1.8309773434226653,26,2749.8076923076924,2.0645264203366307,0.52,2,0,0,1,0,0,1,0,0,0,0,0,0,0
2012-06-03 00:00:00+00:00,197,3834.304568527919,2.079775669854562,20,4237.5,1.729722341528714,19,2763.684210526316,1.6668756974308385,0.65,2,0,0,1,0,1,0,0,0,0,0,0,0,0
2012-06-10 00:00:00+00:00,209,3948.3301435406697,2.1644892452235616,31,3946.8709677419356,2.1596312283573362,24,2905.4166666666665,1.6786567098696459,0.3548387096774194,2,0,0,1,0,0,0,0,0,0,0,0,0,0
2012-06-17 00:00:00+00:00,205,3999.5024390243902,2.1705832832283476,20,3221.35,1.7728746523964811,26,2198.1153846153848,2.184660488307191,0.55,2,0,0,1,0,0,0,0,0,0,0,0,0,0
2012-06-24 00:00:00+00:00,210,4114.3190476190475,2.1633362881655747,31,3266.451612903226,2.2093325314075463,35,3352.5714285714284,2.032526421428869,0.5483870967741935,2,0,0,1,0,0,0,0,0,0,0,0,0,0
2012-07-01 00:00:00+00:00,201,4150.18407960199,2.1697970814646608,26,3366.153846153846,2.0656419602111358,22,3731.818181818182,1.857200790585802,0.38461538461538464,2,0,0,0,1,1,0,0,0,0,0,0,0,0
2012-07-08 00:00:00+00:00,196,4144.525510204082,2.195682501518995,17,3543.529411764706,2.037734194785151,18,3363.5555555555557,1.798105502624266,0.35294117647058826,2,0,0,0,1,0,0,0,0,0,0,0,0,0
